,lat,lon,name
0,34.4074,-119.848,['A000318']
1,34.4186,-119.879,['A000563']
2,34.4081,-119.849,['A000536']
3,34.4192,-119.877,['A000466']
4,34.4201,-119.881,['A000502']
5,34.4077,-119.848,['A000229']
6,34.4183,-119.876,['A000369']
7,35.0566,-120.604,['A000513']
8,35.0367,-120.6,['A000522']
9,34.4057,-119.845,['A000465']
10,34.4184,-119.878,['A000546']
